,short_description,label
158,किसान सरकार के छठ दौर बातचीत पहल जान पूर्व कृष मंत्र पूर्व फ़ूड कमिश्नर पूर्व एफ़सीआई चेयरमैन मुद्द जुड़ जानकार क्य होग रास् ,1
566,टिकट बंटवार के लिहाज देख सत् पक्ष के चार घटक दल जेडीय छोड़ पार्ट मुस्लिम उम्मीदवार टिकट नह दिय ,1
694,उत्तर प्रदेश के ललितपुर मध्य प्रदेश के भोपाल ट्रेन बि रुक चल रह ताक बच्च बच सक ,1
512,बूम पाय यूनिसेफ़ ऐस एडवाइज़र जार नह मैसेज ज्यादातर दाव वैज्ञानिक नह ,0
14,दाव पाकिस्तान उपद्रव द्वार मंदिर तोड़ मुसलमान प्रदर्शन रह ,0
31,मोहम्मद सिराज शार्दुल ठाकुर प्रभावशाल गेंदबाज़ ऑस्ट्रेलिय टीम दूसर पार 294 आउट ,1
462,बूम पाय वीडिय एनीमेशन वीडिय प्रोड्यूसिंग कंप बन डिजिटल बन गय हकीक़त ऐस नह ,0
131,बूम पाय वीडिय आठ साल पहल सितम्बर 2012 फ़िल्म गय प्रदर्शन खरतौम सूडान युएस युक ,0
101,बूम पाय वायरल तस्वीर अलग कथित हत्य के आरोप जुल ज़िल ,0
736,बूम पाय वायरल तस्वीर जिसम लड़क बत रह झूठ तस्वीर अलग अलग लड़क ,0
143,बूम कराच विपक्ष रैल फ़िल्म वीडिओज़ तस्वीर जांच पाय तिरंग नह लहर गय ,0
640,बिहार तीसर अंतिम चरण मतदान शनिवार होग पिछल सव मही बिहार जार चुनाव प्रचार जुड़ ख़ास बात ,1
25,दाव किय रह कर्नाटक के हुबल इस्माइल नाम के मुस्लिम युवक हिन्द महिल आश हत्य दी ,0
619,नीतीश कुमार बिहार राजनीत के ऐस खिलाड़ सत् के खेल जम रह जान ,1
697,भारत चीन पहल ख़राब रिश्त ले चर्च बन चीन ताज़ समझौ ले तीख प्रतिक्रिय दी ,1
523,बूम पहल वीडिय जाँच फैल दाव किय गय पश्चिम बंगाल इस्लाम आतंकवाद ,0
636,बूम पाय सेक्स टॉयज़ कंडोम तस्वीर पुरा विश्वविद्यालय परिसर रविवार हिंस संबंधित ,0
546,वॉ भारत दर्ज बाघ द्वार सबस लंब पैदल-यात्र पूर ली बाघ महाराष्ट्र के ज्ञानगंग अभयारण्य अप घर बन लिय ,1
245,बूम पाय वीडिय क्लिप दरअसल महेश भट्ट बेट शाहीन भट्ट के बुक लांच रह मानसिक स्वास्थ चर्च ,0
692,तस्वीर के झूठ दाव किय रह तमिलनाड के छात्र अय्यप्प माल पहन स्कूल शौचालय साफ सज ,0
